0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	Species	Strain
VEuPathDB	PF3D7_0100100	VAR		GO:0020013	PMID:9230440	TAS		P	erythrocyte membrane protein 1, PfEMP1	VAR-UPSB1	protein_coding	taxon:36329	20240321	GeneDB			P.falciparum	3D7
VEuPathDB	PF3D7_0100100	VAR		GO:0020033	PMID:18785843	TAS		P	erythrocyte membrane protein 1, PfEMP1	VAR-UPSB1	protein_coding	taxon:36329	20240321	GeneDB			P.falciparum	3D7
VEuPathDB	PF3D7_0100100	VAR		GO:0020035	PMID:11420100	TAS		P	erythrocyte membrane protein 1, PfEMP1	VAR-UPSB1	protein_coding	taxon:36329	20240321	GeneDB			P.falciparum	3D7
VEuPathDB	PF3D7_0100100	VAR		GO:0098609	PMID:11316367	TAS		P	erythrocyte membrane protein 1, PfEMP1	VAR-UPSB1	protein_coding	taxon:36329	20240321	GeneDB			P.falciparum	3D7
VEuPathDB	PF3D7_0100100	VAR		GO:0020002	PMID:11420100	TAS		C	erythrocyte membrane protein 1, PfEMP1	VAR-UPSB1	protein_coding	taxon:36329	20240321	GeneDB			P.falciparum	3D7
VEuPathDB	PF3D7_0100100	VAR		GO:0020030	PMID:9291676	TAS		C	erythrocyte membrane protein 1, PfEMP1	VAR-UPSB1	protein_coding	taxon:36329	20240321	GeneDB			P.falciparum	3D7
VEuPathDB	PF3D7_0100100	VAR		GO:0050839	PMID:9786187	TAS		F	erythrocyte membrane protein 1, PfEMP1	VAR-UPSB1	protein_coding	taxon:36329	20240321	GeneDB			P.falciparum	3D7
VEuPathDB	PF3D7_0100200	RIF		GO:0020013	PMID:25751816	IDA		P	rifin	RIF-A	protein_coding	taxon:36329	20240321	GeneDB			P.falciparum	3D7
VEuPathDB	PF3D7_0100200	RIF		GO:0020033	PMID:10430943	TAS		P	rifin	RIF-A	protein_coding	taxon:36329	20240321	GeneDB			P.falciparum	3D7
VEuPathDB	PF3D7_0100200	RIF		GO:0020035	PMID:25751816	IDA		P	rifin	RIF-A	protein_coding	taxon:36329	20240321	GeneDB			P.falciparum	3D7
VEuPathDB	PF3D7_0100200	RIF		GO:0020002	PMID:10430943	IDA		C	rifin	RIF-A	protein_coding	taxon:36329	20240321	GeneDB			P.falciparum	3D7
VEuPathDB	PF3D7_0100200	RIF		GO:0020003	PMID:25751816	IDA		C	rifin	RIF-A	protein_coding	taxon:36329	20240321	GeneDB			P.falciparum	3D7
VEuPathDB	PF3D7_0100200	RIF		GO:0020036	PMID:25751816	IDA		C	rifin	RIF-A	protein_coding	taxon:36329	20240321	GeneDB			P.falciparum	3D7
